epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
57,782.688,1.24143,0.79944,0.00546,0.86075,0.77539,0.86844,0.58329,1.20028,0.8012,0.00871,0.0008912,0.0008912,0.0008912
58,796.184,1.24405,0.78096,0.00553,0.85356,0.7738,0.86474,0.57846,1.19828,0.82734,0.00853,0.0008714,0.0008714,0.0008714
59,809.054,1.2438,0.77892,0.00554,0.8522,0.76609,0.86379,0.58162,1.19239,0.81008,0.00867,0.0008516,0.0008516,0.0008516
60,822.406,1.23886,0.78389,0.00544,0.8473,0.7752,0.86759,0.58143,1.20179,0.81487,0.00846,0.0008318,0.0008318,0.0008318
61,834.999,1.20562,0.75153,0.00543,0.84217,0.78877,0.87402,0.58258,1.21161,0.78347,0.00865,0.000812,0.000812,0.000812
62,848.172,1.233,0.77217,0.00543,0.85225,0.77324,0.86813,0.58313,1.20125,0.80267,0.00852,0.0007922,0.0007922,0.0007922
63,860.818,1.24236,0.77822,0.00541,0.86164,0.77539,0.87096,0.58784,1.18545,0.79114,0.00838,0.0007724,0.0007724,0.0007724
64,873.89,1.21039,0.75819,0.00552,0.86312,0.77222,0.87018,0.58363,1.19374,0.80625,0.00854,0.0007526,0.0007526,0.0007526
65,885.718,1.21675,0.76428,0.00529,0.86484,0.7739,0.87302,0.58562,1.18496,0.78795,0.0084,0.0007328,0.0007328,0.0007328
66,898.852,1.22579,0.7593,0.00549,0.86126,0.77435,0.86954,0.58737,1.18408,0.78947,0.0083,0.000713,0.000713,0.000713
67,911.335,1.21349,0.75918,0.00536,0.86031,0.77193,0.87136,0.58353,1.20162,0.78804,0.00861,0.0006932,0.0006932,0.0006932
68,924.137,1.2214,0.75745,0.00532,0.86514,0.77925,0.87424,0.58691,1.20453,0.78794,0.00867,0.0006734,0.0006734,0.0006734
69,936.752,1.21136,0.7659,0.00514,0.86131,0.78213,0.87483,0.58977,1.18224,0.77509,0.0084,0.0006536,0.0006536,0.0006536
70,948.958,1.21802,0.75212,0.00527,0.85626,0.78163,0.87503,0.58583,1.20791,0.77765,0.00869,0.0006338,0.0006338,0.0006338
71,961.139,1.19938,0.73633,0.0053,0.86094,0.77598,0.87477,0.59332,1.18964,0.77245,0.00856,0.000614,0.000614,0.000614
72,974.257,1.18633,0.74597,0.00524,0.8582,0.78012,0.87392,0.58703,1.18766,0.7925,0.00832,0.0005942,0.0005942,0.0005942
73,986.063,1.21311,0.75286,0.00516,0.86327,0.77489,0.87128,0.5899,1.1862,0.76633,0.00836,0.0005744,0.0005744,0.0005744
74,998.611,1.17173,0.72422,0.00525,0.86746,0.77555,0.87093,0.58457,1.18558,0.76303,0.00837,0.0005546,0.0005546,0.0005546
75,1011.13,1.1753,0.73527,0.00507,0.86356,0.77948,0.87128,0.58878,1.17607,0.77489,0.00828,0.0005348,0.0005348,0.0005348
76,1023.23,1.18323,0.73403,0.00523,0.86298,0.78123,0.87385,0.59392,1.17313,0.75769,0.00831,0.000515,0.000515,0.000515
77,1035.97,1.1583,0.72809,0.00508,0.87135,0.77779,0.87589,0.59616,1.17214,0.7601,0.00833,0.0004952,0.0004952,0.0004952
78,1047.64,1.17838,0.7316,0.0051,0.86441,0.77905,0.87537,0.59845,1.16423,0.76351,0.00814,0.0004754,0.0004754,0.0004754
79,1060.1,1.14938,0.71219,0.00521,0.86131,0.78599,0.87767,0.5989,1.1624,0.76456,0.00824,0.0004556,0.0004556,0.0004556
80,1072.68,1.17885,0.7277,0.00514,0.85947,0.78332,0.8736,0.59172,1.1784,0.785,0.00831,0.0004358,0.0004358,0.0004358
81,1085.36,1.14646,0.70942,0.00523,0.86755,0.77559,0.87322,0.59533,1.17621,0.75195,0.0084,0.000416,0.000416,0.000416
82,1097.6,1.14959,0.69992,0.00515,0.86907,0.77735,0.87291,0.59324,1.19172,0.74995,0.00844,0.0003962,0.0003962,0.0003962
83,1109.76,1.16667,0.72033,0.00509,0.86236,0.78619,0.87648,0.59434,1.18406,0.75631,0.00833,0.0003764,0.0003764,0.0003764
84,1122.43,1.16125,0.7162,0.00504,0.86804,0.78078,0.87496,0.5992,1.16153,0.75187,0.00813,0.0003566,0.0003566,0.0003566
85,1135.26,1.14594,0.70065,0.00498,0.86233,0.78691,0.87653,0.60004,1.16426,0.75201,0.00817,0.0003368,0.0003368,0.0003368
86,1148.04,1.18244,0.73596,0.00499,0.86938,0.78342,0.8763,0.59917,1.16977,0.74926,0.00816,0.000317,0.000317,0.000317
87,1160.1,1.17466,0.71414,0.005,0.86352,0.78619,0.87592,0.59877,1.17232,0.74702,0.00823,0.0002972,0.0002972,0.0002972
88,1172.51,1.1741,0.71739,0.0049,0.85528,0.79778,0.87811,0.59935,1.15885,0.751,0.00815,0.0002774,0.0002774,0.0002774
89,1184.92,1.14324,0.70299,0.00498,0.86512,0.78609,0.87763,0.59763,1.16583,0.74908,0.00818,0.0002576,0.0002576,0.0002576
90,1198.09,1.13168,0.68585,0.00504,0.86547,0.78847,0.87783,0.59913,1.16361,0.74968,0.00818,0.0002378,0.0002378,0.0002378
91,1214.19,1.10679,0.66664,0.00563,0.86278,0.78748,0.87608,0.59306,1.17842,0.75695,0.00838,0.000218,0.000218,0.000218
92,1225.17,1.06068,0.61638,0.00532,0.86731,0.78688,0.87721,0.59535,1.17222,0.7453,0.00827,0.0001982,0.0001982,0.0001982
93,1236.6,1.07681,0.61565,0.00522,0.86546,0.78524,0.87723,0.59947,1.16871,0.75561,0.00823,0.0001784,0.0001784,0.0001784
94,1247.6,1.04751,0.59535,0.00519,0.86862,0.78312,0.87581,0.59761,1.16787,0.75669,0.00823,0.0001586,0.0001586,0.0001586
95,1258.5,1.07321,0.61633,0.00515,0.87498,0.77731,0.87598,0.59775,1.17235,0.75521,0.00826,0.0001388,0.0001388,0.0001388
96,1269.36,1.05644,0.60019,0.00512,0.86533,0.78252,0.8751,0.5988,1.16191,0.76075,0.00815,0.000119,0.000119,0.000119
97,1280.29,1.05535,0.60103,0.00517,0.8697,0.78361,0.87754,0.59947,1.15934,0.76044,0.00812,9.92e-05,9.92e-05,9.92e-05
98,1291.38,1.03102,0.59141,0.0051,0.86569,0.78738,0.87645,0.60082,1.15898,0.75236,0.00812,7.94e-05,7.94e-05,7.94e-05
99,1302.55,1.03314,0.58099,0.00523,0.86667,0.78658,0.87676,0.60004,1.15702,0.75742,0.00808,5.96e-05,5.96e-05,5.96e-05
100,1313.71,1.02945,0.59131,0.00498,0.86934,0.78599,0.87703,0.59958,1.16272,0.75198,0.00813,3.98e-05,3.98e-05,3.98e-05
